1	503
10	2823
100	1
106	1
111	1
113	1
117	1
119	1
12	2015
120	1
124	1
128	1
131	1
133	2
137	1
139	2
14	1434
142	1
151	1
159	2
16	1004
166	1
177	1
179	1
18	726
180	1
186	1
188	1
21	454
214	1
23	364
232	1
25	256
254	1
27	201
29	183
294	1
3	2547
30	156
304	1
32	130
322	1
34	104
353	1
36	75
364	1
375	1
38	43
393	1
41	36
43	25
441	1
45	18
47	11
49	13
5	3973
50	9
504	1
517	1
519	1
52	6
520	1
54	3
56	4
560	1
58	6
61	4
627	1
63	3
65	3
67	2
69	3
698	1
7	4039
70	2
713	1
72	3
74	1
76	1
87	4
89	2
9	3204
90	1
92	2
94	1
96	2
98	3
103	1
105	1
109	2
11	2414
110	1
116	1
118	1
127	1
13	1715
138	1
141	1
145	1
15	1167
156	1
161	1
163	1
165	1
169	1
17	816
185	1
19	577
196	1
2	1263
20	569
219	1
22	427
224	1
24	330
246	1
248	1
26	240
260	1
28	218
286	1
288	1
295	2
309	1
31	124
310	1
327	1
33	113
341	1
35	81
363	1
37	60
370	3
39	38
4	3627
40	28
42	23
433	1
44	26
46	15
48	10
503	1
51	11
523	1
53	6
543	1
55	5
57	8
585	1
587	1
59	4
6	4123
60	5
62	7
64	3
66	4
68	1
71	2
716	2
75	2
77	2
79	2
8	3632
84	3
86	1
88	1
91	4
95	1
99	3
